,Title,Publication Information,Publisher,Author,year,Abstract
70,A preliminary study of knowledge sharing related to covid-19 pandemic in stack overflow,"K Georgiou, N Mittas, L Angelis… - 2020 46th Euromicro …, 2020 - ieeexplore.ieee.org",[PDF] researchgate.net,"K Georgiou, N Mittas, L Angelis… ","2020, 46, 2020","… , “web-scrapping” and “json” are related to the extraction of information from websites, 
whereas “beautifulsoup” is a Python package that is used for parsing web … Several well-known 
technologies are associated to the tag “python”, including libraries and frameworks for web-…"
71,"Image search optimization with web scraping, text processing and cosine similarity algorithms","AA Ilham, I Nurtanio - 2020 IEEE International Conference on …, 2020 - ieeexplore.ieee.org",[PDF] researchgate.net,"AA Ilham, I Nurtanio ","2020, 2020","… comparison method of the image source web content, so that the information obtained from 
the web source can be relevant to the query text image that is looNing for. This process requires 
many stages starting from the web scrapping process, text processing and categorization …"
72,Mobile applications recommendation based on user ratings and permissions,"RC Jisha, R Krishnan… - … Conference on Advances …, 2018 - ieeexplore.ieee.org",Mobile applications recommendation based on user ratings and permissions,"RC Jisha, R Krishnan… ",2018,"… Compared to static pages, scrapping the web pages rendered from JSON is effortless, we 
directly have to load the JSON string and iterate over each object, extracting the accordant 
key/value pairs. In the proposed work we use JSON to list out all elements that we want to crawl …"
73,The Geospatial Data Mining Concept Using Scrapping Technology,"HA Nekrasov, DE Polivoda… - 2020 Moscow Workshop …, 2020 - ieeexplore.ieee.org",The Geospatial Data Mining Concept Using Scrapping Technology,"HA Nekrasov, DE Polivoda… ","2020, 2020","… Thus, we consider an example of how using web scrapping one can collect geospatial 
data from open sources for the further analysis. This technique is suitable for most datasets 
displayed on interactive maps. But there are exceptions that require different approaches. …"
74,Readiness of Indonesian Higher Education Programs in the Big Data Era,"I Rozas, D Rolliawati, N Wahyudi… - … Conference on Social …, 2019 - atlantis-press.com",Readiness of Indonesian Higher Education Programs in the Big Data Era,"I Rozas, D Rolliawati, N Wahyudi… ",2019,"… We use web scrapping method to obtain data from Higher Education Data Base (Forlap 
Dikti) webpage from Indonesian Ministry of Research; Technology and Higher Education. This 
paper is expected to be able to provide an overview of stakeholders to be better prepared to …"
75,Transfer learning for illustration classification,"M Lagunas, E Garces - arXiv preprint arXiv:1806.02682, 2018 - arxiv.org",[PDF] arxiv.org,"M Lagunas, E Garces ","1806, 2682, 2018","… In order to increase the number of images in each of the selected class, we use web-scraper 
which queries Google Images with the class name and download the first 200 clip art images 
returned. The web-scrapping process could have copied wrong images to each class, that’…"
76,[PDF][PDF] Inflation prediction model using machine learning,"O Yadav, C Gomes, A Kanojiya, A Yadav - International journal of …, 2019 - ijics.com",[PDF] ijics.com,"O Yadav, C Gomes, A Kanojiya, A Yadav ",2019,"… The daily inflation data can be obtained online or real time by using web scrapping 
techniques, data crawling techniques (twitter) and data API features. By using web scrapping 
techniques, we do not have to wait for web providers to generate API data. Scrapping the web will …"
77,[HTML][HTML] A dataset of attributes from papers of a machine learning conference,"D Vallejo-Huanga, P Morillo, C Ferri - Data in brief, 2019 - Elsevier",[HTML] sciencedirect.com,D Vallejo,2019,"… Web scrapping techniques were used to mine the data contained in these web sites. The 
dataset covers 448 papers presented in the conference and every paper contains 6 attributes 
including information about the thematic session in which they were presented in the …"
78,Predicting daily consumer price index using support vector regression method,"IA Budiastuti, SMS Nugroho… - 2017 15th international …, 2017 - ieeexplore.ieee.org",Predicting daily consumer price index using support vector regression method,"IA Budiastuti, SMS Nugroho… ","2017, 15, 2017","… Daily data can be obtained online by using web scrapping techniques and API data 
feature. By using web scrapping techniques, we do … necessarily need to wait for any web 
provider to generate API data; web scrapping will scrape primary commodities prices from e-commerce …"
79,1.5 billion words arabic corpus,"IA El-Khair - arXiv preprint arXiv:1611.04033, 2016 - arxiv.org",[PDF] arxiv.org,IA El,"1611, 4033, 2016","… Web scrapping or web copying programs were used to extract text from news sources in 
order to create the corpus. The researchers used wget (1), which is used by LDC, and htttrack 
(2) site copier, but both were very slow, so they were not used. Two other program, Internet …"
80,Safety App: Crime Prediction Using GIS,"A Deshmukh, S Banka, SB Dcruz… - … , Computing and IT …, 2020 - ieeexplore.ieee.org",Safety App: Crime Prediction Using GIS,"A Deshmukh, S Banka, SB Dcruz… ",2020,"… The approach towards building an app is based on three aspects, which are Official Reports, 
Web scrapping, and Crowd-sourcing. We will train our model initially using Official Reports 
and then build it up in the sequential phases using Web scrapping and Crowd-sourcing. It …"
81,Implementasi Web Scrapping pada Website Eduesia. Com untuk Pengukur Kesenjangan Jumlah Mahasiswa Perguruan Tinggi di Indonesia,"Y Pramana, W Munggana - Ultima InfoSys: Jurnal Ilmu Sistem …, 2015 - ejournals.umn.ac.id",[PDF] umn.ac.id,"Y Pramana, W Munggana ",2015,"… This study was made with Web scrapping’s techniques and produce a website that presents a 
valid and accurate information and analysis … Web Scrapping merupakan proses pengekstrakan 
data pada halaman website yang berupa kumpuluan kode HTML, javascript, css, dll. …"
82,Missing the MARC: Utilization of MARC fields in the search process,"L Woolcott, A Payant, B Skeen… - … & Classification Quarterly, 2021 - Taylor & Francis",[PDF] usu.edu,"L Woolcott, A Payant, B Skeen… ",2021,"… Utah State University Cataloging and Metadata Services (CMS) unit analyzed MARC record 
discoverability within the libraries’ discovery layer, Encore, using web analytics, a web-scrapping 
tool, and a relational database to examine MARC records listed in users’ search results…"
83,Content based fraudulent website detection using supervised machine learning techniques,"M Maktabar, A Zainal, MA Maarof… - … Conference on Hybrid …, 2017 - Springer",[PDF] researchgate.net,"M Maktabar, A Zainal, MA Maarof… ",2017,"… of web technologies increased the complexity of web scrapping and limits the access of 
fraudulent website detection to the web contents. … Recent web programming languages and 
technologies made the web crawling and scrapping process more difficult than ever before. This …"
84,Predicting customer satisfaction based on online reviews and hybrid ensemble genetic programming algorithms,"KY Chan, CK Kwong, GE Kremer - Engineering Applications of Artificial …, 2020 - Elsevier",Predicting customer satisfaction based on online reviews and hybrid ensemble genetic programming algorithms,"KY Chan, CK Kwong, GE Kremer ",2020,"… First the web scrapping tool captures the customer … the web scrapping tool and opinion 
mining software are significant to develop the models. Since this paper contributes on algorithmic 
development using machine leaning, those words or phrases used in the web scrapping tool …"
85,[HTML][HTML] Business analytics in tourism: Uncovering knowledge from crowds,"C Marcolin, JL Becker, F Wild, G Schiavi… - BAR-Brazilian …, 2019 - SciELO Brasil",[HTML] scielo.br,"C Marcolin, JL Becker, F Wild, G Schiavi… ",2019,"… We worked with 23,229 hotel reviews collected from TripAdvisor website through WebScrapping 
packages in R, and used a text mining approach (Latent Semantic Analysis) to analyze the 
data. This contributes with practical implications to hotel managers by demonstrating the …"
86,"[PDF][PDF] Study of automated social engineering, its vulnerabilities, threats and suggested countermeasures","P Kaul, D Sharma - International Journal of Computer Applications, 2013 - academia.edu",[PDF] academia.edu,"P Kaul, D Sharma ",2013,"… ASE bots can be developed easily using open source web automation and web scrapping 
tools. These tools combined with appropriate chat logic with enhanced intelligence pose a 
great threat to the security of SNSs. Countermeasures like Captchas have proved ineffective in …"
87,Discovering job market trends with text analytics,"RB Mbah, M Rege, B Misra - 2017 International Conference on …, 2017 - ieeexplore.ieee.org",Discovering job market trends with text analytics,"RB Mbah, M Rege, B Misra ","2017, 2017","… We also discuss technologies used such as: cron jobs for automation; Java for API data 
collection and web scrapping, Elasticsearch for data subsetting and keyword analysis, and R 
for data analysis and visualization. We expect this work to be of relevance to a diverse range of …"
